,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__penalty,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_lr__regularization,param_lr__C
0,1.1127564112345378,0.05109923728198527,0.0350646177927653,0.004359947487265973,,{'lr__penalty': None},0.9613840830449827,0.9565397923875433,0.9602768166089966,0.9594002306805075,0.002072533097597791,1,False,
0,1.2217215696970622,0.0917912376783924,0.028404792149861652,0.004245316226196989,,{'lr__penalty': None},0.956955017301038,0.9611072664359862,0.960553633217993,0.9595386389850057,0.0018408246683515692,1,False,
0,1.0733428001403809,0.01071854759805514,0.03198361396789551,0.0009047587913303646,,{'lr__penalty': None},0.9638754325259515,0.9624913494809688,0.9576470588235294,0.9613379469434832,0.002670319931439488,1,False,
0,1.108369509379069,0.047466043890101416,0.03811939557393392,0.004175660014643046,,{'lr__penalty': None},0.9584775086505191,0.9606920415224913,0.9591695501730104,0.9594463667820069,0.0009250259587433848,1,False,
0,1.085371971130371,0.06308599666639564,0.03548987706502279,0.003136469922383637,,{'lr__penalty': None},0.9602768166089966,0.9591695501730104,0.9623529411764706,0.9605997693194924,0.001319524765497129,1,False,
4,1.0644245942433674,0.01614104728522299,0.03317960103352865,0.005001810740083408,l2,"{'lr__C': 48.872766490764796, 'lr__penalty': 'l2'}",0.9595847750865052,0.9612456747404844,0.9604152249134948,0.9604152249134947,0.000678059444369029,1,True,48.872766490764796
1,1.07026473681132,0.006341432346996409,0.03814093271891276,0.002648136143021048,l2,"{'lr__C': 54.87194110708544, 'lr__penalty': 'l2'}",0.9617993079584775,0.9583391003460208,0.9602768166089966,0.9601384083044984,0.0014160100810355306,2,True,54.87194110708544
2,1.0297036170959473,0.015030352720556289,0.03304680188496908,0.0066392076307908365,l2,"{'lr__C': 62.38887344627754, 'lr__penalty': 'l2'}",0.9593079584775086,0.9597231833910035,0.96,0.959677047289504,0.0002844020301254509,3,True,62.38887344627754
0,1.041595458984375,0.01389124645093772,0.038513739903767906,0.001578207653837695,l2,"{'lr__C': 72.4446978987753, 'lr__penalty': 'l2'}",0.9591695501730104,0.9598615916955018,0.9594463667820069,0.9594925028835064,0.00028440203012545097,4,True,72.4446978987753
3,1.087597926457723,0.031173798432713867,0.032085418701171875,0.0008386228383237879,l2,"{'lr__C': 14.982577984094474, 'lr__penalty': 'l2'}",0.9583391003460208,0.9557093425605536,0.9591695501730104,0.9577393310265282,0.0014749127901403452,5,True,14.982577984094474
